"dates","I"
"04/03/2020",1
"05/03/2020",0
"06/03/2020",7
"07/03/2020",0
"08/03/2020",0
"09/03/2020",9
"10/03/2020",0
"11/03/2020",4
"12/03/2020",10
"13/03/2020",3
"14/03/2020",11
"15/03/2020",11
"16/03/2020",9
"17/03/2020",14
"18/03/2020",18
"19/03/2020",31
"20/03/2020",30
"21/03/2020",67
"22/03/2020",41
"23/03/2020",35
"24/03/2020",86
"25/03/2020",115
"26/03/2020",87
"27/03/2020",156
"28/03/2020",0
"29/03/2020",75
"30/03/2020",146
"31/03/2020",88
"01/04/2020",79
"02/04/2020",132
"03/04/2020",88
"04/04/2020",98
"05/04/2020",103
"06/04/2020",74
"07/04/2020",87
"08/04/2020",80
"09/04/2020",134
"10/04/2020",46
"11/04/2020",0
"12/04/2020",277
"13/04/2020",0
"14/04/2020",225
